LU,FI,EE,V,BA,OP,BS,BR,length
RESIDENTIAL,0,1,F,E,0,1,0,0
RESIDENTIAL,0,1,F,E,0,1,0,0
RESIDENTIAL,0,1,F,E,0,1,0,0
RESIDENTIAL,0,1,F,E,0,1,0,0
RESERVE,0,0,D,N,0,0,0,0
RESERVE,0,0,D,N,0,0,0,0
RESERVE,0,0,D,N,0,0,0,0
RESERVE,0,0,D,N,0,0,0,0
RESERVE,0,0,D,N,0,0,0,0
RESERVE,0,0,D,N,0,0,0,0
GREENERY,0,0,F,B,0,0,0,0
GREENERY,0,0,F,B,0,0,0,0
RESIDENTIAL,12,31,A,D,96.08705,6,6.271450342,0
RESIDENTIAL,12,31,A,D,96.08705,6,6.271450342,0
RESIDENTIAL,12,31,A,D,96.08705,6,6.271450342,0
RESIDENTIAL,23,117,B,D,0,7,14.77502184,0
RESIDENTIAL,23,117,B,D,0,7,14.77502184,0
RESIDENTIAL,15,73,B,D,91.984208,6,15.85940606,0
RESIDENTIAL,15,73,B,D,91.984208,6,15.85940606,0
RESIDENTIAL,21,105,F,D,0,6,7.553765418,0
RESIDENTIAL,5,5,B,E,0,1,2.171920975,0
RESIDENTIAL,5,5,B,E,0,1,2.171920975,0
RESIDENTIAL,13,43,B,E,24.123127,5,12.14467959,0
RESIDENTIAL,21,96,B,E,976.580825,4,21.70585532,0
RESIDENTIAL,21,96,B,E,976.580825,4,21.70585532,0
RESIDENTIAL,21,96,B,E,976.580825,4,21.70585532,0
TRANSPORTATION,6,22,A,E,348.864282,4,7.464981107,0
RESIDENTIAL,10,22,B,C,212.396796,1,6.556448615,0
RESIDENTIAL,0,16,D,E,356.604646,4,19.98577207,0
RESIDENTIAL,2,12,E,E,258.388696,2,20.11154943,0
RESIDENTIAL,2,12,E,E,258.388696,2,20.11154943,0
RESIDENTIAL,2,12,E,E,258.388696,2,20.11154943,0
RESIDENTIAL,2,12,E,E,258.388696,2,20.11154943,0
RESIDENTIAL,2,12,E,E,258.388696,2,20.11154943,0
RESIDENTIAL,0,0,E,E,0,0,0,0
RESIDENTIAL,0,2,E,E,326.440908,2,14.44948866,0
RESIDENTIAL,0,1,B,D,366.843036,3,9.205781543,0
RESIDENTIAL,0,3,D,E,1447.055254,2,12.29954645,0
RESIDENTIAL,1,0,D,E,93.834048,0,0.912390539,0
RESIDENTIAL,1,0,D,E,93.834048,0,0.912390539,0
RESIDENTIAL,1,0,D,E,93.834048,0,0.912390539,0
RESIDENTIAL,10,7,B,E,239.513074,6,12.68209982,0
RESIDENTIAL,17,43,A,E,141.358321,6,10.72316567,0
RESIDENTIAL,10,7,B,E,239.513074,6,12.68209982,0
RESIDENTIAL,3,7,B,D,233.943329,4,16.52135138,0
RESIDENTIAL,3,7,B,D,233.943329,4,16.52135138,0
RESIDENTIAL,10,7,B,E,239.513074,6,12.68209982,0
RESIDENTIAL,10,7,B,E,239.513074,6,12.68209982,0
RESIDENTIAL,6,24,B,D,186.50354,4,22.89940609,0
RESIDENTIAL,16,10,B,C,1452.371729,3,12.8870084,0
RESIDENTIAL,16,10,B,C,1452.371729,3,12.8870084,0
RESIDENTIAL,16,21,A,B,333.93623,5,9.399645931,0
RESIDENTIAL,16,21,A,B,333.93623,5,9.399645931,0
RESIDENTIAL,33,79,B,B,394.159926,4,19.01220638,0
RESIDENTIAL,33,79,B,B,394.159926,4,19.01220638,0
RESIDENTIAL,16,21,A,B,333.93623,5,9.399645931,0
RESIDENTIAL,16,21,A,B,333.93623,5,9.399645931,0
RESIDENTIAL,27,131,B,D,67.378785,4,18.48791154,0
RESIDENTIAL,27,131,B,D,67.378785,4,18.48791154,0
RESIDENTIAL,27,131,B,D,67.378785,4,18.48791154,0
RESIDENTIAL,13,52,B,E,0,3,8.344988269,0
RESIDENTIAL,16,163,B,C,214.918643,1,10.36802797,0
RESIDENTIAL,27,131,B,D,67.378785,4,18.48791154,0
RESIDENTIAL,27,131,B,D,67.378785,4,18.48791154,0
RESIDENTIAL,0,11,B,E,165.315528,8,25.11488713,0
RESIDENTIAL,1,2,B,D,0,8,5.162265025,0
GREENERY,1,2,E,D,0,2,1.082807786,0
RESIDENTIAL,10,3,D,A,440.40986,2,20.43154302,0
GREENERY,0,0,F,C,0,0,0,0
GREENERY,1,2,E,D,0,2,1.082807786,0
GREENERY,1,2,E,D,0,2,1.082807786,0
GREENERY,0,0,F,C,0,0,0,0
GREENERY,1,2,E,D,0,2,1.082807786,0
RESERVE,0,2,F,D,0,3,6.332457534,0
BUSINESS,0,9,B,D,0,0,0,0
BUSINESS,0,1,B,C,801.741427,0,0.633331801,0
BUSINESS,0,1,B,C,801.741427,0,0.633331801,0
BUSINESS,0,0,B,C,1231.297205,3,13.61161402,0
BUSINESS,0,0,B,C,1231.297205,3,13.61161402,0
BUSINESS,0,0,B,C,1231.297205,3,13.61161402,0
RESERVE,0,8,B,C,823.767187,1,5.452766504,0
BUSINESS,0,106,A,B,524.170025,6,3.96734123,0
TRANSPORTATION,0,28,B,B,1591.49501,2,5.544166226,0
BUSINESS,0,1,B,D,51.646137,3,3.982773639,0
BUSINESS,0,1,B,D,51.646137,3,3.982773639,0
TRANSPORTATION,0,28,B,B,1591.49501,2,5.544166226,0
COMMERCIAL,0,0,A,C,1297.585274,8,6.506903122,0
COMMERCIAL,0,0,A,C,1297.585274,8,6.506903122,0
COMMERCIAL,0,0,A,C,1297.585274,8,6.506903122,0
RESERVE,3,40,B,B,149.757913,4,7.887345813,0
GREENERY,1,88,D,B,125.276807,2,12.66706306,0
GREENERY,1,88,D,B,125.276807,2,12.66706306,0
RESIDENTIAL,10,3,D,A,440.40986,2,20.43154302,0
RESIDENTIAL,10,3,D,A,440.40986,2,20.43154302,0
RESIDENTIAL,17,30,B,B,239.351651,7,10.72006229,0
RESIDENTIAL,0,0,B,B,60.487599,2,9.367225898,0
RESIDENTIAL,0,0,B,B,60.487599,2,9.367225898,0
BUSINESS,0,12,B,C,0,4,13.14186391,0
BUSINESS,0,12,B,C,0,4,13.14186391,0
BUSINESS,0,12,B,C,0,4,13.14186391,0
BUSINESS,0,16,F,B,236.26942,2,11.26125971,0
BUSINESS,0,16,F,B,236.26942,2,11.26125971,0
BUSINESS,0,11,B,A,1066.210614,2,25.08834404,0
BUSINESS,0,11,B,A,1066.210614,2,25.08834404,0
RESIDENTIAL,0,0,B,B,0,0,1.142640063,0
RESIDENTIAL,5,8,F,D,213.406253,11,28.31529433,0
RESIDENTIAL,5,8,F,D,213.406253,11,28.31529433,0
RESIDENTIAL,5,8,F,D,213.406253,11,28.31529433,0
RESIDENTIAL,11,58,B,A,45.898386,6,14.53538665,0
RESIDENTIAL,20,26,B,D,344.672187,9,14.96758135,0
RESIDENTIAL,5,8,F,D,213.406253,11,28.31529433,0
RESIDENTIAL,5,8,F,D,213.406253,11,28.31529433,0
RESIDENTIAL,11,58,B,A,45.898386,6,14.53538665,0
RESIDENTIAL,4,0,A,B,151.060573,2,10.93914521,0
RESIDENTIAL,4,0,A,B,151.060573,2,10.93914521,0
COMMERCIAL,0,0,G,B,107.010902,0,0,0
COMMERCIAL,0,0,G,B,107.010902,0,0,0
RESIDENTIAL,0,3,G,A,176.922628,4,18.11918854,0
RESIDENTIAL,0,3,G,A,176.922628,4,18.11918854,0
RESIDENTIAL,0,3,G,A,176.922628,4,18.11918854,0
COMMERCIAL,0,0,G,B,107.010902,0,0,0
GREENERY,0,1,F,B,701.37142,2,9.427906555,0
RESIDENTIAL,3,63,B,C,393.837494,6,25.68006762,0
RESERVE,0,3,F,C,352.270985,2,6.040536125,0
RESERVE,1,3,B,C,1652.1756,3,21.04745922,0
RESERVE,1,3,B,C,1652.1756,3,21.04745922,0
RESERVE,3,315,B,B,3094.846573,4,24.83141774,0
RESERVE,3,315,B,B,3094.846573,4,24.83141774,0
RESIDENTIAL,4,18,B,C,831.945841,10,15.70380467,0
RESIDENTIAL,0,2,F,C,239.458173,2,14.91615533,0
RESIDENTIAL,9,86,B,E,540.027996,3,4.285714387,0
RESIDENTIAL,9,86,B,E,540.027996,3,4.285714387,0
RESIDENTIAL,0,2,F,C,239.458173,2,14.91615533,0
RESIDENTIAL,0,2,F,C,239.458173,2,14.91615533,0
RESIDENTIAL,0,2,F,C,239.458173,2,14.91615533,0
TRANSPORTATION,0,0,F,A,334.619108,1,14.17667595,0
TRANSPORTATION,0,0,F,A,334.619108,1,14.17667595,0
TRANSPORTATION,0,0,F,A,334.619108,1,14.17667595,0
RESIDENTIAL,22,52,B,E,1352.524345,7,29.06813079,0
RESIDENTIAL,6,34,B,A,144.242333,4,3.68001517,0
RESIDENTIAL,6,34,B,A,144.242333,4,3.68001517,0
RESIDENTIAL,8,9,B,A,79.86092,9,7.43416129,0
RESIDENTIAL,8,9,B,A,79.86092,9,7.43416129,0
RESIDENTIAL,17,33,B,A,1170.945258,8,13.32937393,0
RESIDENTIAL,10,14,B,A,1155.071669,7,15.11415533,0
RESIDENTIAL,10,14,B,A,1155.071669,7,15.11415533,0
RESIDENTIAL,10,14,B,A,1155.071669,7,15.11415533,0
RESIDENTIAL,3,9,E,D,95.78319,4,4.57795261,0
RESIDENTIAL,4,24,E,B,335.912226,4,6.267357825,0
RESIDENTIAL,4,24,E,B,335.912226,4,6.267357825,0
TRANSPORTATION,1,5,B,B,296.354348,4,16.01619186,0
TRANSPORTATION,1,5,B,B,296.354348,4,16.01619186,0
RESIDENTIAL,4,24,E,B,335.912226,4,6.267357825,0
RESIDENTIAL,0,13,B,D,0,4,4.857243161,0
RESIDENTIAL,4,24,E,B,335.912226,4,6.267357825,0
RESERVE,0,13,B,C,0,1,1.67833451,0
BUSINESS,0,3,A,C,94.602664,4,2.844964572,0
RESERVE,0,13,B,C,0,1,1.67833451,0
BUSINESS,0,0,G,C,0,0,0,0
BUSINESS,0,3,B,C,142.003868,4,1.688447808,0
BUSINESS,0,3,B,C,142.003868,4,1.688447808,0
BUSINESS,0,3,B,C,142.003868,4,1.688447808,0
RESIDENTIAL,0,106,F,A,0,5,5.142960821,0
BUSINESS,0,11,B,B,0,1,0.865434755,0
BUSINESS,0,11,B,B,0,1,0.865434755,0
BUSINESS,0,11,B,B,0,1,0.865434755,0
BUSINESS,0,6,B,B,138.7561,7,2.719595723,0
BUSINESS,0,0,B,C,0,4,1.598466698,0
BUSINESS,0,11,B,B,0,1,0.865434755,0
BUSINESS,0,0,B,C,0,4,1.598466698,0
BUSINESS,0,0,B,C,0,4,1.598466698,0
RESIDENTIAL,0,14,F,E,2.722495,2,2.853945016,0
RESIDENTIAL,0,14,F,E,2.722495,2,2.853945016,0
RESIDENTIAL,0,14,F,E,2.722495,2,2.853945016,0
RESIDENTIAL,0,14,F,E,2.722495,2,2.853945016,0
RESIDENTIAL,2,1,D,E,0,3,1.135598006,0
RESIDENTIAL,0,1,E,C,120.725604,3,1.041331853,0
RESIDENTIAL,2,1,D,E,0,3,1.135598006,0
RESIDENTIAL,0,1,E,C,120.725604,3,1.041331853,0
RESERVE,0,0,A,B,1412.922395,4,14.47201033,0
RESERVE,0,0,A,B,1412.922395,4,14.47201033,0
RESIDENTIAL,2,10,B,C,626.96705,6,16.50301988,0
RESERVE,0,0,A,B,1412.922395,4,14.47201033,0
BUSINESS,0,6,A,C,8.52352,6,10.54367559,0
RESIDENTIAL,1,26,E,C,0,1,0.86282133,0
