,Predicted,SE,lower,upper,LU,FI,EE,V,OP,BS
44,0.129695681,0.13566124,0.01669443,1.007579729,BUSINESS,0,0,G,0,0
45,0.059598302,0.064252682,0.007203723,0.493072453,TRANSPORTATION,0,1,G,0,0
46,0.129695681,0.13566124,0.01669443,1.007579729,BUSINESS,0,0,G,0,0
47,0.129695681,0.13566124,0.01669443,1.007579729,BUSINESS,0,0,G,0,0
48,0.093897575,0.101122283,0.011375207,0.775085187,RESERVE,0,1,G,0,0
49,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
50,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
139,0.059598302,0.064252682,0.007203723,0.493072453,TRANSPORTATION,0,1,G,0,0
140,0.408943452,0.147014848,0.202142194,0.827312415,TRANSPORTATION,0,1,B,0,1
141,0.998107911,0.20561274,0.666542489,1.494607499,BUSINESS,0,3,B,0,3
142,1.448406659,0.363616379,0.885523228,2.369087319,BUSINESS,0,3,A,0.094602664,4
143,0.654177468,0.220247538,0.33815379,1.265542996,RESERVE,0,13,B,0,1
144,0.608762563,0.210238816,0.309372536,1.197882212,RESERVE,0,0,B,0,0
145,0.608762563,0.210238816,0.309372536,1.197882212,RESERVE,0,0,B,0,0
146,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
147,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
233,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
234,0.37791583,0.173460833,0.153708994,0.929160817,BUSINESS,0,0,D,0,0
235,0.483085998,0.18704838,0.226174506,1.031823109,TRANSPORTATION,0,1,F,0,0
236,1.258027342,0.315679044,0.769301465,2.057233563,BUSINESS,0,1,A,0,2
237,1.244416657,0.284644818,0.794811349,1.948352671,BUSINESS,0,2,B,0,7
238,1.099431384,0.225440582,0.735576029,1.643269111,BUSINESS,0,3,B,0.142003868,4
239,1.177704349,0.320595299,0.690751355,2.007940371,RESIDENTIAL,0,106,F,0,5
240,0.720782754,0.241918565,0.373347249,1.391540393,RESERVE,0,2,B,0,3
241,0.64839354,0.219585732,0.333864118,1.259237395,RESERVE,0,6,B,0,1
242,0.643476606,0.219127833,0.330116191,1.254292136,RESERVE,0,0,B,0,1
243,0.231297851,0.099511544,0.099530954,0.537508119,TRANSPORTATION,0,0,E,0,0
244,0.627729821,0.282352463,0.259957806,1.515802639,GREENERY,0,1,E,0,2
245,0.648881152,0.224582028,0.329274967,1.278708651,RESERVE,1,0,B,0,0
246,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
328,0.093778523,0.101003475,0.011358552,0.77425462,RESERVE,0,0,G,0,0
329,0.379356948,0.1741974,0.154235279,0.933065997,BUSINESS,0,3,D,0,0
330,0.503981058,0.171364452,0.258813719,0.981388883,BUSINESS,0,0,E,0,0
