distance,transect
,B1
,B2
,B3
,B4
,C1.1
,C1.2
,C1.3
,C1.4
,C1.5
,C1.6
,C1.7
,C1.8
9,C2.1
7,C2.1
6.4,C2.1
5.8,C2.1
4,C2.1
31.8,C2.2
,C2.3
,C2.4
23.4,C2.5
11.8,C2.5
9.4,C2.5
,C2.6
43,C2.7
27.4,C2.7
47.2,C2.8
17.2,C2.8
15.6,C2.8
10.2,C2.8
9.8,C2.8
9.6,C2.8
,C5.1
122,C5.2
52.6,C5.3
44.6,C5.3
42.8,C5.3
12.8,C5.3
74.4,C5.4
65.8,C5.4
21.6,C5.4
13.4,C5.4
23.8,C5.5
21.5,C5.5
18.6,C5.5
13.2,C5.5
10.4,C5.5
38,C5.6
33.6,C5.6
69.4,C5.7
,C5.8
,C9.1
,C9.2
,C9.3
,C9.4
,C9.5
,C9.6
,C9.7
,C9.8
,D1
,D2
,D3
,D4
,D5
27.4,E11.1
9.2,E11.1
,E11.2
55.4,E11.3
21.2,E11.3
79,E11.4
12,E11.5
3,E11.5
85,E11.6
38.8,E11.6
14,E11.7
23.4,E11.8
14.2,E11.8
79.4,E12.1
75.2,E12.1
59.6,E12.1
26,E12.1
18.8,E12.1
49.4,E12.2
28.8,E12.2
25.5,E12.2
11.6,E12.2
8.8,E12.2
2,E12.2
40.4,E12.3
35.4,E12.3
19.2,E12.3
4.5,E12.3
49.4,E12.4
25.2,E12.4
7.8,E12.4
56.5,E12.5
50.9,E12.5
9.4,E12.5
8.8,E12.5
8.4,E12.5
76,E12.6
68,E12.6
16.4,E12.6
,E12.7
58.5,E12.8
36,E12.8
18,E12.8
,E14.1
48.6,E14.2
43,E14.2
39.8,E14.2
17.4,E14.2
182.4,E14.3
85,E14.4
78,E14.4
64.6,E14.4
14.4,E14.4
,E14.5
69,E14.6
41,E14.7
,E14.7
,E14.8
,E15.1
,E15.2
,E15.3
,E15.4
,E15.5
,E15.6
,E15.7
,E15.8
,E16.1
,E16.2
,E16.3
,E16.4
,E16.5
,E16.6
179.4,E16.7
108.8,E16.7
87.6,E16.7
71.4,E16.7
47,E16.7
31.8,E16.8
24.8,E16.8
24.8,E16.8
22,E16.8
,E2.1
,E2.2
,E2.3
,E2.4
,E2.5
98,E2.6
,E2.7
,E2.8
,E4.1
,E4.2
,E4.3
56.6,E4.4
55,E4.4
42.5,E4.4
39.6,E4.4
,E4.5
86.4,E4.6
85.4,E4.6
53.6,E4.6
,E4.7
,E4.8
,E5.1
,E5.2
,E5.3
,E5.4
,E5.5
,E5.6
,E5.7
,E5.8
,E6.1
,E6.2
,E6.3
,E6.4
,E6.5
,E6.6
30.8,E6.7
30.4,E6.7
8,E6.7
25,E6.8
24,E6.8
17.4,E6.8
,E9.1
,E9.2
,E9.3
,E9.4
,E9.5
,E9.6
,E9.7
,E9.8
104,J10
43.8,J10
27.2,J10
18.8,J10
14,J10
,J11
,J12
,J13
,J14
160,J16
93,J17
81,J17
63,J17
56.4,J17
41.8,J17
40.4,J17
140.8,J9
80.5,J9
80,J9
65.8,J9
46.8,J9
,K1
12.8,K10
39.6,K11
9,K11
,K2
,K3
46.8,K4
29.8,K4
6,K4
36.4,K5
23.4,K5
17.6,K6
,K7
15.4,K9
,N10.1
,N10.2
38.5,N10.3
37.4,N10.3
32.1,N10.3
62.2,N10.4
9.4,N10.5
,N10.6
,N10.7
,N10.8
,N11.1
,N11.2
,N11.3
,N11.4
,N11.5
,N11.6
,N11.7
110.6,N11.8
65.2,N11.8
65,N11.8
,N12.1
,N12.2
,N12.3
,N12.4
,N12.5
,N12.6
,N12.7
16,N12.8
,N13.1
,N13.2
,N13.3
,N13.4
,N13.5
,N13.6
,N13.7
,N13.8
102,N2.1
,N2.2
,N2.3
68.2,N2.4
40.6,N2.4
25.8,N2.4
,N2.5
,N2.6
,N2.7
,N2.8
,N4.1
,N4.2
,N4.3
43.6,N4.4
,N4.5
81.4,N4.6
18.4,N4.7
39.8,N4.8
,N9.1
42.4,N9.2
30.4,N9.2
24.5,N9.2
36.8,N9.3
32.4,N9.3
17.8,N9.3
17.2,N9.3
11.8,N9.3
93.6,N9.4
56.4,N9.5
32.8,N9.5
30.4,N9.5
15.6,N9.5
64.8,N9.6
20.4,N9.6
108.8,N9.7
48.8,N9.8
34.5,N9.8
31.8,N9.8
24.8,N9.8
20.8,N9.8
,P10
,P11
57,P12
16.8,P12
,P13
67.6,P14
,P15
30.4,P2
43.8,P3
