layer,LU,FI,EE,V,OP,BS
44,BUSINESS,0,0,G,0,0
45,TRANSPORTATION,0,1,G,0,0
46,BUSINESS,0,0,G,0,0
47,BUSINESS,0,0,G,0,0
48,RESERVE,0,1,G,0,0
49,RESERVE,0,0,G,0,0
50,RESERVE,0,0,G,0,0
139,TRANSPORTATION,0,1,G,0,0
140,TRANSPORTATION,0,1,B,0,1
141,BUSINESS,0,3,B,0,3
142,BUSINESS,0,3,A,94.602664,4
143,RESERVE,0,13,B,0,1
144,RESERVE,0,0,B,0,0
145,RESERVE,0,0,B,0,0
146,RESERVE,0,0,G,0,0
147,RESERVE,0,0,G,0,0
233,RESERVE,0,0,G,0,0
234,BUSINESS,0,0,D,0,0
235,TRANSPORTATION,0,1,F,0,0
236,BUSINESS,0,1,A,0,2
237,BUSINESS,0,2,B,0,7
238,BUSINESS,0,3,B,142.003868,4
239,RESIDENTIAL,0,106,F,0,5
240,RESERVE,0,2,B,0,3
241,RESERVE,0,6,B,0,1
242,RESERVE,0,0,B,0,1
243,TRANSPORTATION,0,0,E,0,0
244,GREENERY,0,1,E,0,2
245,RESERVE,1,0,B,0,0
246,RESERVE,0,0,G,0,0
328,RESERVE,0,0,G,0,0
329,BUSINESS,0,3,D,0,0
330,BUSINESS,0,0,E,0,0
331,BUSINESS,0,7,B,0,1
332,BUSINESS,0,25,B,0,4
333,BUSINESS,0,11,B,0,1
334,BUSINESS,0,6,B,0,0
335,RESIDENTIAL,2,17,B,0,4
336,RESIDENTIAL,2,0,F,0,4
337,RESIDENTIAL,2,3,D,0,2
338,RESIDENTIAL,0,0,D,0,3
339,RESIDENTIAL,0,1,E,120.725604,3
340,RESIDENTIAL,2,1,D,0,3
341,RESIDENTIAL,0,0,D,0,0
342,RESERVE,0,1,D,0,0
343,RESERVE,0,0,G,0,0
344,RESERVE,0,0,G,0,0
345,RESERVE,0,0,G,0,0
409,GREENERY,0,0,G,0,0
410,GREENERY,0,0,G,0,0
411,GREENERY,0,0,G,0,0
412,GREENERY,0,0,G,0,0
421,COMMERCIAL,0,0,G,0,0
422,RESERVE,0,0,G,0,0
